Category,Question,Option1,Option2,Option3,Option4,Option5
Domestic workload,"How do you feel when managing cooking, cleaning, and childcare all at once?",I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you have time to sit down and eat meals during your day?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you wish for a day off from household duties?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel others in your home equally share domestic responsibilities?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel mentally tired before the physical chores even begin?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you able to maintain a routine or schedule for home tasks?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do small household tasks feel overwhelming sometimes?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you delay your own needs for household priorities?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel your entire day revolves around home responsibilities?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you able to enjoy weekends or holidays without housework?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you clean or reorganize out of pressure rather than need?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you ever feel trapped in a cycle of never-ending chores?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are household tasks preventing you from pursuing hobbies?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you find yourself explaining your workload to family members?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do your mornings feel rushed due to domestic demands?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you take intentional rest during a busy day?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel you're expected to manage the home perfectly every day?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel guilty when taking help for house chores?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Does your daily household workload allow you to step outside freely?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How many times a week do you go to bed feeling completely exhausted?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you feel like you need an assistant to manage tasks?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you often interrupted during your meals or breaks by chores?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel like your contributions at home are invisible?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How well can you manage when you're physically unwell?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you able to complete tasks without being micromanaged?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you find joy in doing household tasks regularly?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you finish all your home responsibilities before evening?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you ever have to skip essential self-care due to home duties?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you able to delegate tasks to others when needed?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Does the cleanliness or state of your home affect your mood?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel like you're working a full-time job without recognition?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are chores distributed based on gender roles in your home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you constantly re-do tasks done by others because of quality concerns?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do your children or dependents help with home tasks?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are you able to complete tasks at your own pace?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How often do you feel physical pain from overworking at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you take breaks in between long stretches of work at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel like housework gets in the way of rest?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Does multitasking household duties make you anxious?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do family expectations influence your household workload?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How do you feel when you can't complete your to-do list?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,How easy is it to manage your home without external support?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you use to-do lists or planners to stay organized at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you get any time alone or in silence during the day?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Are there days when you feel everything is under control?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you avoid guests due to the fear of extra housework?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you think your home is more demanding than a workplace?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you feel free to take a nap in the middle of a tiring day?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Do you wish there was recognition for homemaking as a career?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Domestic workload,Does the emotional burden of home responsibilities affect your health?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel satisfied with the appreciation you receive for home care?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you believe homemakers are as respected as professionals?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel proud of how you manage your household?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do your family members ask your opinion before making decisions?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel your day-to-day actions make a difference?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do others acknowledge your emotional labor and effort?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Are your views respected in financial matters at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you see yourself as an equal contributor in your family?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you often seek external validation for your self-worth?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you take time to acknowledge your own achievements at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,How do you feel when your family doesn't mention your efforts?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you compare yourself with working women and feel inadequate?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you get opportunities to pursue personal development?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Does a lack of income affect your confidence?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do compliments from others boost your self-worth?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel invisible during social or family discussions?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Have you ever been mocked for 'just being a housewife'?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel capable of taking on challenges outside the home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do your kids or spouse recognize your contribution regularly?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you ever celebrate your small daily wins?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel like your voice is heard at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you think homemaking should be more openly appreciated?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you reward yourself for completing tasks or goals?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Does social media affect how you view your role at home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Have you been denied opportunities because of your homemaking status?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you find yourself defending your identity as a housewife?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do friends or relatives respect your role and responsibilities?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel important in your family dynamic?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you look forward to sharing your thoughts and ideas?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Have you ever doubted your own intelligence because of how others speak?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you have creative outlets to express yourself?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do people in your circle inspire you or discourage you?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,How comfortable are you accepting praise from others?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you have affirmations or rituals to boost self-esteem?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Have you ever wished to switch roles with a working member of your family?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you believe your presence makes home a better place?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you receive constructive feedback or just criticism?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you believe self-worth should come from within?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you take criticism about the house personally?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,How often do you feel respected as a full individual?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Have you created anything recently that made you proud?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you feel emotionally strong even without income?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you hide your talents or skills from others?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you think homemakers deserve pensions or support systems?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Does being busy at home make you feel accomplished or drained?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you openly discuss your self-doubts with your spouse or family?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you measure your worth based on how others see your home?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you ever feel like your identity is lost in routines?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,Do you wish for more praise or acknowledgment regularly?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Recognition & self-worth,How do you bounce back from days when you feel underappreciated?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you hesitate before asking for money for personal use?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you keep track of every rupee you spend?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you fear being judged for your expenses?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Have you delayed purchases because you felt guilty?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you wish to earn but are unsure where to begin?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Does financial dependence impact your confidence to speak up?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you feel uneasy asking for money for necessities?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you plan your spending to avoid conflict?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you think your financial needs are treated as secondary?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you often hide small purchases?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you avoid discussing big expenses?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you feel you have to justify each item you buy?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Have you canceled plans because of lack of personal funds?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Does financial dependence make you feel stuck?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
Financial dependency stress,Do you wish to contribute to savings or bills?,I feel confident and secure,I manage but feel pressure occasionally,I feel unsure or neutral,I feel anxious or unsupported,I feel overwhelmed or insecure
