Category,Question,Option1,Option2,Option3,Option4,Option5
Academic Pressure,To what extent did pressure from deadlines affect your focus today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did your group projects workload interfere with taking breaks today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How much mental fatigue came from managing your assignments recently?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did you postpone any coursework because of stress today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How supported did you feel while tackling your exams?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did you postpone any research work because of stress today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your group projects affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How supported did you feel while tackling your syllabus coverage?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did thinking about your upcoming labs cause you anxiety this week?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your labs affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How confident did you feel completing your research work today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did thinking about your upcoming syllabus coverage cause you anxiety this week?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How satisfied are you with your progress on online classes so far?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your syllabus coverage affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did thinking about your upcoming revision plan cause you anxiety this week?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,To what extent did pressure from syllabus coverage affect your focus today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How satisfied are you with your progress on academic tasks so far?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How supported did you feel while tackling your research work?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did your exams workload interfere with taking breaks today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did you postpone any practical sessions because of stress today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How satisfied are you with your progress on syllabus coverage so far?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your research work affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How much mental fatigue came from managing your online classes recently?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How much mental fatigue came from managing your labs recently?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How satisfied are you with your progress on assignments so far?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your online classes affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did you postpone any syllabus coverage because of stress today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did fear of underperforming in your assignments affect your mood today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How confident did you feel completing your revision plan today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How supported did you feel while tackling your study schedule?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,Did you postpone any academic tasks because of stress today?,Not at all,Rarely,Sometimes,Often,Constantly
Academic Pressure,How supported did you feel while tackling your online classes?,Not at all,Rarely,Sometimes,Often,Constantly
