Category,Question,Option1,Option2,Option3,Option4,Option5
Job Workload & Deadlines,How confident were you completing your task queue throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,To what extent did project milestones this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,What mental load came from client deliverables throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,To what extent did overtime requirements this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How confident were you completing team requests recently?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How supported did you feel handling team requests today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How well could you cope with unexpected assignments today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How well could you cope with your task queue during your shift?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did pressure from team requests this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did you feel overwhelmed by client deliverables throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,To what extent did overtime requirements throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did you feel overwhelmed by multitasking demands this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How stressful were multitasking demands this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How well could you cope with unexpected assignments during your shift?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How supported did you feel handling project milestones during your shift?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How stressful were urgent emails throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did pressure from team requests during your shift?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How stressful were multitasking demands throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How stressful were client deliverables throughout the day?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How well could you cope with back‑to‑back meetings this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,To what extent did back‑to‑back meetings today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,To what extent did multitasking demands recently?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How confident were you completing multitasking demands this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,What mental load came from overtime requirements this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How confident were you completing client deliverables today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How draining were multitasking demands this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How confident were you completing approaching deadlines today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How well could you cope with client deliverables this week?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did pressure from urgent emails recently?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,Did you feel overwhelmed by approaching deadlines today?,Not at all,Rarely,Sometimes,Often,Always
Job Workload & Deadlines,How draining were back‑to‑back meetings recently?,Not at all,Rarely,Sometimes,Often,Always
